coord,wins, winprob
"(2,0)",53159,46.27%
"(3,0)",72141,62.79%
"(4,0)",70127,61.04%
"(5,0)",72576,63.17%
"(2,1)",43229,37.63%
"(3,1)",70542,61.40%
"(4,1)",69593,60.58%
"(5,1)",70663,61.51%
"(0,2)",53159,46.27%
"(1,2)",43229,37.63%
"(3,2)",69398,60.41%
"(4,2)",71431,62.18%
"(5,2)",70334,61.22%
"(0,3)",72141,62.79%
"(1,3)",70542,61.40%
"(2,3)",69398,60.41%
"(3,3)",67725,58.95%
"(4,3)",70989,61.79%
"(5,3)",71507,62.24%
"(0,4)",70127,61.04%
"(1,4)",69593,60.58%
"(2,4)",71431,62.18%
"(3,4)",70989,61.79%
"(4,4)",70830,61.65%
"(5,4)",71028,61.83%
"(0,5)",72576,63.17%
"(1,5)",70663,61.51%
"(2,5)",70334,61.22%
"(3,5)",71507,62.24%
"(4,5)",71028,61.83%
"(5,5)",73222,63.74%

